intent,response,utter_send_link,utter_ask_more,featureless
RECOMMEND_LENGTH-LONG,기장감 있는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 기장감 있는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""길이가 긴 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_LENGTH-SHORT,길이가 길지 않은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 길이가 길지 않은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""기장이 짧은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SLEEVES-LONG,소매길이가 긴 디자인의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 소매길이가 긴 디자인의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""소매 길이가 긴 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SLEEVES-SHORT,소매길이가 짧은 디자인의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 소매길이가 짧은 디자인의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""소매 길이가 짧은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-TYPE,말씀하신 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 해당 소재로 된 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""원단이 린넨인 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-THIN,가벼운 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 가벼운 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""가벼운 소재의 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-THICK,도톰한 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 도톰한 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""도톰한 소재의 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-THERMAL,따뜻하고 보온성 좋은 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 따뜻하고 보온성 좋은 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""보온성이 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-OPAQUE,비침이 없는 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 비침의 없는 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""비치지 않는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-WRINKLE,구김이 없는 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 구김이 없는 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""구김이 없는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-QUALITY,좋은 퀄리티의 원단으로 된 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 좋은 퀄리티의 원단으로 된 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""고 퀄리티 원단의 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SIZE-LARGE,여유있는 스타일의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 여유있는 스타일의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""여유있는 스타일의 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SIZE-SMALL,몸에 피트한 스타일의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 몸에 피트한 스타일의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""몸에 피트한 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_STRETCH-GOOD,신축성 있는 편안한 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 신축성 있는 편안한 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""신축성 있는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FINISH-QUALITY,내구성있는 좋은 품질의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 내구성있는 좋은 품질의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""내구성 있는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_DESIGN-TYPE,말씀하신 디자인의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 해당 디자인의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""디자인이 라운드넥인 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_PATTERN-TYPE,말씀하신 패턴의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 해당 패턴의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""패턴이 체크무늬인 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_COLOR-TYPE,말씀하신 컬러의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 해당 컬러의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""컬러가 아이보리인 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_ABSORBENCY-GOOD,흡수성이 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 흡수성이 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""흡수성이 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_WATERPROOF-GOOD,방수성이 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 방수성이 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""방수력이 뛰어난 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_PORTABILITY-GOOD,휴대성이 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 휴대성이 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""휴대성이 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_INFORMAL-GOOD,편하게 데일리로 입기 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 편하게 데일리로 입기 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""데일리로 편하게 입을 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FORMAL-GOOD,단정하게 공식자리에서 입기 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 단정하게 공식자리에서 입기 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""단정하게 입기 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_TRIP-GOOD,여행 갈때 입기 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 여행 갈때 입기 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""바캉스때 입기 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SPORTS-GOOD,운동할 때 입기 좋은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 운동할 때 입기 좋은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""운동할 때 입기 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SLIM-LOOK,슬림해보이는 룩을 연출하는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 슬림해보이는 룩을 연출하는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""날씬해 보이는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_YOUNG-LOOK,발랄한 소녀룩의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 발랄한 소녀룩의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""귀여워 보이는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_CHIC-LOOK,성숙하고 세련된 룩의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 성숙하고 세련된 룩의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""어른스워 보이는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SPORTIVE-LOOK,활동적인 룩을 연출하는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 활동적인 룩을 연출하는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""활동적으로 보이게 하는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_VIVID-LOOK,화사하고 생기있는 룩을 연출하는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 화사하고 생기있는 룩을 연출하는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""얼굴이 화사하게 보이는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_TREND-LOOK,트렌디한 룩을 연출하는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 트렌디한 룩을 연출하는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""트렌디한 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_PRICE-TYPE,말씀하신 가격 수준의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 말씀하신 가격 수준의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""가격이 5만원대인 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FOR-WOMAN,말씀하신 연령의 여성용 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 말씀하신 연령의 여성용 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""30대 여성이 입을만한 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_MATCH-TYPE,말씀하신 옷에 어울리는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 말씀하신 옷에 어울리는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""코트와 입기 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_ALL-FEATURE,말씀하신 특징들을 가진 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 말씀하신 특징들을 가진 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""구겨지지 않는 단정한 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FEATURE-GOOD,말씀하신 특징을 가진 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 기장감 있는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""두께감이 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_NON-FEATURE,말씀하신 특징들을 가진 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 말씀하신 특징들을 가진 상품 추천을 원하시는군요.,어떠신가요?,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,
